countries,NumberOfIntroductionsSincePreviousValue,SUMME (21 countries >29)
1500,,4
1517,1,5
1549,1,6
1550,4,10
1570,1,11
1580,1,12
1588,1,13
1600,5,18
1625,1,19
1649,1,20
1650,4,24
1657,1,25
1660,1,26
1680,2,28
1685,1,29
1690,1,30
1700,10,40
1705,1,41
1710,1,42
1725,2,44
1730,2,46
1732,1,47
1735,1,48
1750,12,60
1762,1,61
1765,2,63
1767,3,66
1768,2,68
1770,1,69
1774,2,71
1778,1,72
1780,1,73
1783,1,74
1784,1,75
1785,2,77
1786,1,78
1788,1,79
1789,1,80
1790,1,81
1792,1,82
1794,1,83
1795,10,93
1799,1,94
1800,11,105
1803,3,108
1805,1,109
1806,2,111
1809,18,129
1810,1,130
1811,2,132
1813,2,134
1814,2,136
1815,2,138
1817,2,140
1818,12,152
1819,27,179
1820,4,183
1822,1,184
1823,5,189
1824,1,190
1825,36,226
1826,12,238
1827,6,244
1828,2,246
1829,3,249
1830,6,255
1831,1,256
1832,3,259
1833,2,261
1834,6,267
1835,43,310
1836,1,311
1837,3,314
1838,5,319
1839,2,321
1840,17,338
1841,3,341
1842,4,345
1843,3,348
1844,3,351
1845,16,367
1846,27,394
1847,20,414
1848,22,436
1849,11,447
1850,49,496
1851,13,509
1852,7,516
1853,15,531
1854,18,549
1855,8,557
1856,9,566
1857,10,576
1858,2,578
1859,2,580
1860,14,594
1861,15,609
1862,18,627
1863,12,639
1864,6,645
1865,22,667
1866,16,683
1867,20,703
1868,18,721
1869,11,732
1870,36,768
1871,11,779
1872,41,820
1873,25,845
1874,33,878
1875,58,936
1876,17,953
1877,11,964
1878,16,980
1879,20,1000
1880,37,1037
1881,35,1072
1882,40,1112
1883,27,1139
1884,35,1174
1885,21,1195
1886,14,1209
1887,8,1217
1888,22,1239
1889,18,1257
1890,34,1291
1891,24,1315
1892,25,1340
1893,17,1357
1894,9,1366
1895,23,1389
1896,23,1412
1897,34,1446
1898,14,1460
1899,12,1472
1900,46,1518
1901,14,1532
1902,27,1559
1903,16,1575
1904,22,1597
1905,31,1628
1906,18,1646
1907,14,1660
1908,18,1678
1909,14,1692
1910,25,1717
1911,16,1733
1912,22,1755
1913,14,1769
1914,19,1788
1915,21,1809
1916,17,1826
1917,20,1846
1918,14,1860
1919,11,1871
1920,32,1903
1921,10,1913
1922,12,1925
1923,13,1938
1924,38,1976
1925,80,2056
1926,19,2075
1927,31,2106
1928,23,2129
1929,30,2159
1930,31,2190
1931,22,2212
1932,22,2234
1933,31,2265
1934,24,2289
1935,47,2336
1936,22,2358
1937,29,2387
1938,14,2401
1939,32,2433
1940,31,2464
1941,18,2482
1942,16,2498
1943,15,2513
1944,12,2525
1945,18,2543
1946,27,2570
1947,20,2590
1948,31,2621
1949,10,2631
1950,46,2677
1951,23,2700
1952,18,2718
1953,23,2741
1954,17,2758
1955,49,2807
1956,22,2829
1957,16,2845
1958,21,2866
1959,29,2895
1960,52,2947
1961,51,2998
1962,26,3024
1963,33,3057
1964,24,3081
1965,65,3146
1966,35,3181
1967,40,3221
1968,25,3246
1969,25,3271
1970,41,3312
1971,46,3358
1972,30,3388
1973,22,3410
1974,29,3439
1975,65,3504
1976,26,3530
1977,19,3549
1978,27,3576
1979,23,3599
1980,40,3639
1981,23,3662
1982,22,3684
1983,36,3720
1984,24,3744
1985,69,3813
1986,29,3842
1987,36,3878
1988,29,3907
1989,33,3940
1990,43,3983
1991,40,4023
1992,24,4047
1993,45,4092
1994,35,4127
1995,84,4211
1996,52,4263
1997,35,4298
1998,47,4345
1999,51,4396
2000,45,4441
2001,48,4489
2002,32,4521
2003,58,4579
2004,49,4628
2005,62,4690
2006,60,4750
2007,45,4795
2008,38,4833
2009,35,4868
2010,23,4891
2011,10,4901
2012,2,4903
