Year,EF
1961,0.738910664
1962,0.764453713
1963,0.790215534
1964,0.819093807
1965,0.847503131
1966,0.86959499
1967,0.884860322
1968,0.914712653
1969,0.946011592
1970,0.997842516
1971,1.021386513
1972,1.049713508
1973,1.084068779
1974,1.08571929
1975,1.077355488
1976,1.114092074
1977,1.131041266
1978,1.145054805
1979,1.176275054
1980,1.161935855
1981,1.14016617
1982,1.121841478
1983,1.127583695
1984,1.147104376
1985,1.14216434
1986,1.160919196
1987,1.189729432
1988,1.231456689
1989,1.246050515
1990,1.246574434
1991,1.250150495
1992,1.23829703
1993,1.237515409
1994,1.243993288
1995,1.269699262
1996,1.277030521
1997,1.283073962
1998,1.277884175
1999,1.28073554
2000,1.299154847
2001,1.304091475
2002,1.324240659
2003,1.370142266
2004,1.4109878
2005,1.454743549
2006,1.487210438
2007,1.514928703
2008,1.520095557
2009,1.465747341
