Year,LPI
1970,1
1971,1.02322755
1972,1.033702729
1973,1.052072461
1974,1.067796543
1975,1.078785146
1976,1.080856426
1977,1.076248933
1978,1.065936881
1979,1.052864789
1980,1.036377759
1981,1.021284107
1982,1.005827678
1983,0.990276616
1984,0.976608299
1985,0.965469776
1986,0.952567233
1987,0.9441433
1988,0.939318325
1989,0.934877942
1990,0.932300527
1991,0.930945496
1992,0.927047074
1993,0.922633113
1994,0.917651869
1995,0.912617454
1996,0.906815246
1997,0.896985387
1998,0.884736445
1999,0.871401361
2000,0.859780239
2001,0.852016727
2002,0.850763039
2003,0.850129118
2004,0.851297321
2005,0.851531472
2006,0.847698537
2007,0.848786021
2008,0.848863937
2009,0.841504148
2010,0.829854812
2011,0.829578652
