Year,Index value
1970,1
1971,0.977997165
1972,0.941936094
1973,0.953761898
1974,0.968222516
1975,0.969801284
1976,0.959910821
1977,0.950706559
1978,0.927656493
1979,0.92184881
1980,0.900851637
1981,0.870619777
1982,0.841884959
1983,0.835256512
1984,0.792942684
1985,0.74205644
1986,0.722081968
1987,0.689803897
1988,0.642539756
1989,0.656555865
1990,0.661841991
1991,0.663293731
1992,0.654975295
1993,0.646921405
1994,0.627514502
1995,0.618920667
1996,0.626290106
1997,0.627495655
1998,0.629513901
1999,0.630540922
2000,0.627794863
2001,0.627690381
2002,0.623086729
2003,0.623365807
2004,0.632608588
2005,0.634819014
2006,0.639783822
2007,0.653357895
2008,0.638637684
2009,0.626543787
2010,0.641947439
2011,0.640107014
2012,0.64433459
