Year,data
1960,1.871657754
1961,1.96969697
1962,2.058823529
1963,2.237076649
1964,2.317290553
1965,2.442067736
1966,2.495543672
1967,2.638146168
1968,2.789661319
1969,2.905525847
1970,3.083778966
1971,3.355614973
1972,3.565062389
1973,3.725490196
1974,4.22459893
1975,4.581105169
1976,4.763814617
1977,5.062388592
1978,5.303030303
1979,5.64171123
1980,6.016042781
1981,6.363636364
1982,6.889483066
1983,7.219251337
1984,7.47771836
1985,7.789661319
1986,8.360071301
1987,8.707664884
1988,9.44741533
1989,9.857397504
1990,10.34759358
1991,10.81996435
1992,11.23885918
1993,11.68449198
1994,12.13903743
1995,12.54901961
1996,13.36898396
1997,13.85026738
1998,14.37611408
1999,14.83957219
2000,15.54367201
2001,16.00713012
2002,16.5597148
2003,16.92513369
2004,18.3600713
2005,19.0285205
2006,19.40285205
2007,20.69518717
2008,21.14973262
2009,21.48841355
2010,21.74688057
2011,21.79144385
2012,21.92513369
