Year,data
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0.431034483
1934,0.431034483
1935,0.431034483
1936,0.431034483
1937,0.431034483
1938,0.431034483
1939,0.431034483
1940,0.431034483
1941,0.431034483
1942,0.431034483
1943,0.431034483
1944,0.431034483
1945,0.431034483
1946,0.431034483
1947,0.431034483
1948,0.431034483
1949,0.431034483
1950,0.431034483
1951,0.431034483
1952,0.431034483
1953,0.431034483
1954,0.431034483
1955,0.431034483
1956,0.431034483
1957,0.431034483
1958,0.431034483
1959,0.431034483
1960,0.431034483
1961,0.431034483
1962,0.431034483
1963,0.431034483
1964,0.431034483
1965,0.431034483
1966,0.862068966
1967,0.862068966
1968,0.862068966
1969,0.862068966
1970,0.862068966
1971,0.862068966
1972,0.862068966
1973,0.862068966
1974,1.724137931
1975,1.724137931
1976,1.724137931
1977,1.724137931
1978,4.310344828
1979,4.74137931
1980,4.74137931
1981,6.034482759
1982,6.896551724
1983,7.75862069
1984,7.75862069
1985,7.75862069
1986,7.75862069
1987,8.189655172
1988,8.189655172
1989,8.189655172
1990,10.34482759
1991,10.34482759
1992,10.34482759
1993,10.34482759
1994,12.06896552
1995,12.5
1996,13.79310345
1997,15.0862069
1998,16.81034483
1999,17.67241379
2000,18.96551724
2001,19.82758621
2002,20.25862069
2003,20.68965517
2004,21.55172414
2005,22.4137931
2006,23.70689655
2007,25
2008,25.86206897
2009,27.5862069
2010,28.44827586
2011,28.44827586
2012,31.89655172
