Year,data
1960,0.431034483
1961,0.431034483
1962,0.431034483
1963,0.431034483
1964,0.431034483
1965,0.431034483
1966,0.862068966
1967,0.862068966
1968,0.862068966
1969,0.862068966
1970,0.862068966
1971,0.862068966
1972,0.862068966
1973,0.862068966
1974,1.724137931
1975,1.724137931
1976,1.724137931
1977,1.724137931
1978,4.310344828
1979,4.74137931
1980,4.74137931
1981,6.034482759
1982,6.896551724
1983,7.75862069
1984,7.75862069
1985,7.75862069
1986,7.75862069
1987,8.189655172
1988,8.189655172
1989,8.189655172
1990,10.34482759
1991,10.34482759
1992,10.34482759
1993,10.34482759
1994,12.06896552
1995,12.5
1996,13.79310345
1997,15.0862069
1998,16.81034483
1999,17.67241379
2000,18.96551724
2001,19.82758621
2002,20.25862069
2003,20.68965517
2004,21.55172414
2005,22.4137931
2006,23.70689655
2007,25
2008,25.86206897
2009,27.5862069
2010,28.44827586
2011,28.44827586
2012,31.89655172
