Year,data
1960,3.037667072
1961,3.280680437
1962,3.280680437
1963,3.40218712
1964,3.645200486
1965,3.645200486
1966,3.888213852
1967,4.131227217
1968,4.495747266
1969,4.860267315
1970,4.981773998
1971,5.589307412
1972,5.953827461
1973,6.439854192
1974,7.411907655
1975,7.897934386
1976,8.626974484
1977,9.234507898
1978,10.08505468
1979,10.93560146
1980,12.27217497
1981,12.7582017
1982,13.36573512
1983,13.97326853
1984,14.2162819
1985,14.58080194
1986,15.43134872
1987,15.91737546
1988,17.13244228
1989,18.59052248
1990,19.44106926
1991,20.41312272
1992,21.50668287
1993,22.60024301
1994,23.57229648
1995,24.66585662
1996,26.12393682
1997,27.70352369
1998,28.79708384
1999,29.7691373
2000,31.59173755
2001,32.68529769
2002,34.7509113
2003,35.4799514
2004,36.57351154
2005,37.18104496
2006,37.66707169
2007,38.2746051
2008,39.48967193
2009,39.7326853
2010,40.21871203
2011,40.21871203
2012,40.70473876
