Year,data
1961,65.84067
1962,65.75778252
1963,65.68354789
1964,65.61094741
1965,65.51148561
1966,65.42379913
1967,65.33087294
1968,65.25285776
1969,65.08573599
1970,65.02914678
1971,64.91966277
1972,64.80059457
1973,64.68343026
1974,64.5742044
1975,64.51673234
1976,64.51624133
1977,64.48184907
1978,64.45002975
1979,64.35878786
1980,64.28854349
1981,64.2531116
1982,64.16709982
1983,64.04929758
1984,63.91153105
1985,63.66197457
1986,63.48446197
1987,63.36319617
1988,63.18974871
1989,63.09519259
1990,62.98314237
1991,62.93585983
1992,62.4960443
1993,62.26380053
1994,62.14015887
1995,62.17505343
1996,62.17594618
1997,62.12887598
1998,62.0664928
1999,62.14292098
2000,62.08092961
2001,62.07025521
2002,62.14955745
2003,62.27421819
2004,62.12642557
2005,62.17741459
2006,62.21725744
2007,62.32267902
2008,62.27574969
2009,62.35241841
2010,62.37803052
2011,62.24573218
