Year,data
1986,0.843406835
1987,0.843270225
1988,0.843149977
1989,0.842990275
1990,0.842876801
1991,0.842675976
1992,0.842528384
1993,0.842403208
1994,0.842242037
1995,0.842098347
1996,0.841913054
1997,0.841729735
1998,0.841563411
1999,0.841370078
2000,0.841203388
2001,0.841036505
2002,0.840847862
2003,0.840648853
2004,0.840471916
2005,0.840321148
2006,0.840136586
2007,0.839938066
2008,0.839761235
2009,0.839585166
2010,0.839404229
2011,0.83926352
2012,0.839070373
2013,0.838883007
2014,0.838727903
2015,0.838552673
2016,0.838464174
