Year,Terrestrial
1970,1
1971,1.002428016
1972,0.988252033
1973,0.966933241
1974,0.97603755
1975,0.977245442
1976,0.967729591
1977,0.931085522
1978,0.892289837
1979,0.883064289
1980,0.891749188
1981,0.882776973
1982,0.864309251
1983,0.842095574
1984,0.793442392
1985,0.798051336
1986,0.799080923
1987,0.804417348
1988,0.809952569
1989,0.805520506
1990,0.803868166
1991,0.79667222
1992,0.780069726
1993,0.773640963
1994,0.771334151
1995,0.759531573
1996,0.733427404
1997,0.741437986
1998,0.744094988
1999,0.708732735
2000,0.69188901
2001,0.693045905
2002,0.670564842
2003,0.673784313
2004,0.668607229
2005,0.677581977
2006,0.676921945
2007,0.668262015
2008,0.644228971
2009,0.647116347
2010,0.656300061
2011,0.637545651
2012,0.619607468
2013,0.614864568
2014,0.593495877
