Year,NPP_all,NBP_all
1951,60.87154545,-0.165809091
1952,60.23627273,-0.757181818
1953,61.57845455,0.051009091
1954,61.61054545,0.308345455
1955,62.67436364,0.997481818
1956,63.71990909,1.816145455
1957,61.92290909,-0.481318182
1958,61.21809091,-1.184790909
1959,61.89127273,-0.340227273
1960,62.68636364,0.435136364
1961,62.296,0.024145455
1962,62.528,0.414672727
1963,62.71836364,0.381536364
1964,62.72618182,0.998409091
1965,60.964,-0.482081818
1966,62.70445455,0.2255
1967,63.18045455,1.010409091
1968,63.76672727,1.3239
1969,62.14836364,-0.430981818
1970,62.28536364,-0.248218182
1971,63.70918182,1.562490909
1972,62.47909091,0.093336364
1973,64.13336364,0.747627273
1974,66.53154545,3.176318182
1975,65.58763636,1.370181818
1976,65.33290909,2.019036364
1977,65.284,0.864518182
1978,66.16118182,1.771736364
1979,64.80618182,0.131872727
1980,63.98427273,-0.238318182
1981,66.43490909,1.437836364
1982,64.38209091,0.193018182
1983,63.79118182,-0.766518182
1984,66.07954545,1.630663636
1985,65.60918182,1.274545455
1986,65.41972727,0.826527273
1987,63.91409091,-0.584181818
1988,66.11954545,1.087527273
1989,67.41745455,2.131918182
1990,66.86318182,0.800090909
1991,66.15327273,0.894109091
1992,64.98945455,0.762263636
1993,66.78836364,1.790345455
1994,66.05336364,0.494345455
1995,66.56354545,0.536390909
1996,67.44263636,1.881809091
1997,68.03990909,1.549481818
1998,67.84490909,0.327354545
1999,68.99563636,2.0696
2000,70.12518182,2.477945455
2001,68.68590909,1.006072727
2002,66.65590909,-0.237754545
2003,68.39127273,1.099209091
2004,69.80054545,2.393854545
2005,68.50927273,0.660536364
2006,70.05945455,2.078063636
2007,70.42163636,2.098445455
2008,70.79490909,2.582009091
2009,69.92436364,1.534327273
2010,70.79254545,1.370881818
2011,71.40227273,2.491927273
2012,69.871,0.7434
2013,70.58509091,1.569218182
2014,71.24590909,2.041618182
2015,69.40945455,0.092481818
