Year,GPP (PgC/yr),NPP (PgC/yr),NBP (PgC/yr),cVeg (PgC),cSoil (PgC),Evapotranspiration (1000km3/year)
1860,102.8542857,47.412,-0.954042857,461.8471429,1320.142857,63.53914286
1861,102.5642857,47.317,-1.274214286,461.0242857,1319.885714,63.08214286
1862,101.2457143,46.64828571,-1.092357143,460.1857143,1319.642857,62.37671429
1863,103.2157143,47.95128571,-0.2608,460.4142857,1319.271429,63.72914286
1864,103.17,47.85014286,-0.302085714,460.3757143,1319.242857,63.33614286
1865,103.0642857,47.76014286,-0.6589,460.3542857,1319.157143,63.48171429
1866,103.9171429,48.06714286,-0.200671429,460.3014286,1318.771429,64.01185714
1867,103.1685714,47.78642857,-0.232185714,459.8728571,1319.028571,63.42685714
1868,103.3585714,47.84871429,-0.423414286,459.6414286,1318.942857,63.33914286
1869,103.4414286,47.83214286,-0.499357143,459.3585714,1318.871429,63.34728571
1870,103.8571429,48.14642857,-0.208085714,459.17,1318.928571,63.449
1871,102.7,47.40142857,-0.579014286,458.5371429,1319.1,62.889
1872,102.9614286,47.72142857,-0.375371429,458.3128571,1318.957143,62.77542857
1873,103.03,47.82785714,-0.362914286,457.7957143,1319.157143,63.06171429
1874,103.2614286,47.90271429,-0.5938,457.4271429,1319.157143,63.369
1875,103.8514286,48.09742857,-0.4455,457.55,1318.871429,63.265
1876,104.4814286,48.63357143,0.061542857,457.3957143,1318.742857,63.723
1877,104.86,48.95485714,0.466542857,457.02,1319.214286,63.39271429
1878,104.32,48.36814286,-0.437857143,456.9657143,1319.528571,63.04457143
1879,104.2657143,48.17528571,-0.6643,456.7628571,1319.242857,63.38714286
1880,104.3457143,48.29,-0.740185714,456.4614286,1319.085714,63.64828571
1881,103.2285714,47.53285714,-1.176642857,455.7442857,1319.014286,62.79057143
1882,102.3971429,47.26885714,-0.800085714,455.1214286,1318.814286,62.35342857
1883,104.2171429,48.40485714,-0.181385714,455.2914286,1318.6,63.50042857
1884,104.5971429,48.53028571,0.14,455.0814286,1318.757143,63.49014286
1885,103.9357143,48.11971429,-0.767542857,454.9171429,1318.614286,63.38557143
1886,105.0428571,48.87542857,0.100642857,454.8157143,1318.528571,64.17957143
1887,104.5642857,48.61585714,-0.061214286,454.6928571,1318.914286,63.57342857
1888,104.9357143,48.686,-0.198728571,454.7085714,1318.9,63.39342857
1889,105.3928571,48.84671429,-0.1035,454.7214286,1318.957143,63.535
1890,105.7685714,49.20457143,0.194857143,454.7228571,1319.157143,63.51228571
1891,104.7871429,48.59285714,-0.519214286,454.3471429,1319.5,63.015
1892,104.6442857,48.58785714,-0.188314286,454.2257143,1319.471429,62.853
1893,104.4985714,48.46757143,-0.354628571,453.8028571,1319.642857,62.87371429
1894,104.7042857,48.63042857,-0.5505,453.5657143,1319.571429,63.30285714
1895,105.0457143,48.75242857,-0.506885714,453.5614286,1319.585714,63.07771429
1896,105.9242857,49.38771429,0.343957143,453.4057143,1319.728571,63.423
1897,106.2885714,49.67057143,0.461242857,452.8471429,1320.314286,63.10857143
1898,105.4085714,48.91442857,-0.399871429,452.5385714,1320.842857,62.65628571
1899,105.1671429,48.67928571,-0.728457143,452.3457143,1320.557143,63.14371429
1900,105.5242857,48.87242857,-0.680357143,452.0942857,1320.471429,63.63214286
1901,104.7057143,48.31471429,-0.856342857,451.24,1320.5,63.11957143
1902,103.0114286,47.47614286,-1.158428571,450.49,1320.5,61.92157143
1903,105.66,49.36528571,0.270228571,450.1271429,1320.442857,63.65842857
1904,106.21,49.57614286,0.725228571,450.6485714,1320.628571,63.45842857
1905,105.1271429,48.67171429,-0.831771429,450.5242857,1320.485714,63.079
1906,107.3285714,49.96285714,0.275314286,450.7385714,1320.214286,64.579
1907,106.0928571,49.30485714,0.217271429,450.5614286,1320.471429,63.69914286
1908,106.6057143,49.51928571,0.1649,450.5042857,1320.657143,63.40571429
1909,106.7957143,49.573,-0.048371429,450.3885714,1320.857143,63.58257143
1910,107.6642857,50.15757143,0.504457143,450.4685714,1321.128571,63.44171429
1911,106.0742857,49.109,-0.614985714,450.0857143,1321.628571,62.88714286
1912,105.8442857,49.12742857,-0.076214286,449.6685714,1321.985714,62.54614286
1913,105.9571429,49.23871429,-0.128814286,449.5742857,1322.342857,62.61657143
1914,106.2214286,49.24685714,-0.551642857,449.3485714,1322.542857,63.38128571
1915,106.6357143,49.47457143,-0.366914286,448.9857143,1322.728571,62.93914286
1916,107.4871429,50.27957143,0.387314286,448.7914286,1322.885714,63.60542857
1917,108.0342857,50.70457143,0.899385714,449.0714286,1323.542857,63.31142857
1918,107.31,49.91642857,-0.1299,448.8585714,1324.114286,62.72885714
1919,107.1514286,49.68228571,-0.693985714,448.73,1323.885714,63.02528571
1920,108.0128571,50.29614286,0.063557143,448.7057143,1324,63.84985714
1921,108.6385714,50.56385714,0.109657143,448.9114286,1324.085714,63.85785714
1922,107.3271429,49.88642857,-0.553085714,448.4757143,1324.271429,62.947
1923,109.4557143,51.196,0.5002,448.69,1324.328571,63.84014286
1924,107.1157143,49.653,-0.557457143,448.5457143,1324.585714,62.36971429
1925,108.2128571,50.59385714,-0.068857143,448.1928571,1324.857143,63.49442857
1926,107.5571429,49.83242857,-0.910914286,447.8771429,1324.971429,62.99857143
1927,109.2171429,51.11442857,0.300485714,447.7985714,1325.114286,63.44342857
1928,107.4685714,49.87042857,-0.727271429,447.52,1325.2,62.45142857
1929,106.7557143,49.69857143,-0.670385714,446.7728571,1325.357143,62.21428571
1930,107.9314286,50.196,-0.394985714,446.6471429,1325.428571,63.53242857
1931,107.1528571,49.56185714,-1.205614286,445.9814286,1325.271429,63.00942857
1932,108.6685714,50.67414286,-0.249142857,445.7114286,1325.185714,63.08971429
1933,108.3357143,50.54114286,-0.096957143,445.34,1325.4,63.00228571
1934,109.5142857,51.10285714,0.188128571,445.3214286,1325.771429,63.34214286
1935,109.0185714,50.68842857,-0.317714286,445.0814286,1326.114286,62.69314286
1936,108.6657143,50.37914286,-0.813514286,444.3857143,1326.214286,63.11771429
1937,109.9342857,51.171,-0.478314286,443.8328571,1326.285714,63.127
1938,110.3157143,51.31471429,-0.340442857,443.6342857,1326.242857,62.998
1939,110.1471429,51.30857143,-0.0313,443.5771429,1326.4,63.95642857
1940,109.1742857,50.66985714,-0.627942857,443.01,1326.642857,63.31085714
1941,109.6057143,50.75885714,-0.931114286,442.2614286,1326.671429,63.87642857
