year,data
1968,100
1969,98.27977083
1970,97.40290062
1971,95.02025426
1972,93.93808218
1973,92.60454949
1974,90.55538988
1975,89.63722342
1976,87.85564288
1977,86.1439898
1978,82.31343841
1979,82.80496253
1980,82.33349544
1981,82.49538284
1982,79.24341065
1983,76.76609689
1984,76.12397817
1985,72.97904085
1986,70.8582524
1987,72.10726511
1988,71.19358515
1989,72.38367038
1990,70.54121695
1991,70.84299341
1992,71.02805999
1993,70.2641435
1994,69.75552797
1995,65.17697493
1996,64.50045856
1997,65.89156932
1998,63.82425012
1999,63.7193504
2000,61.9468216
2001,61.03522396
2002,60.70023176
2003,61.50193017
2004,62.40777462
2005,62.81664274
2006,62.15839642
2007,61.39127218
2008,60.81558804
2009,60.5143225
2010,59.72146594
2011,59.41910769
2012,59.26504951
2013,58.2895568
2014,59.12324923
