Year,data
1960,0.03
1961,0.04
1962,0.04
1963,0.05
1964,0.05
1965,0.05
1966,0.05
1967,0.06
1968,0.06
1969,0.06
1970,0.07
1971,0.08
1972,0.08
1973,0.09
1974,0.1
1975,0.11
1976,0.11
1977,0.12
1978,0.12
1979,0.14
1980,0.16
1981,0.17
1982,0.18
1983,0.18
1984,0.18
1985,0.19
1986,0.2
1987,0.2
1988,0.21
1989,0.23
1990,0.24
1991,0.24
1992,0.25
1993,0.27
1994,0.29
1995,0.3
1996,0.32
1997,0.34
1998,0.36
1999,0.37
2000,0.38
2001,0.4
2002,0.42
2003,0.43
2004,0.44
2005,0.45
2006,0.45
2007,0.47
2008,0.48
2009,0.48
2010,0.49
2011,0.49
2012,0.49
