"year","BII_SR"
"900.0000000","  0.9450398"
"1000.000000","   0.943496"
"1100.0000000","   0.9384873"
"1200.0000000","   0.9348178"
"1300.0000000","   0.9332358"
"1400.0000000","   0.9335164"
"1500.0000000","   0.9300295"
"1600.0000000","   0.9273986"
"1700.0000000","   0.9221986"
"1710.0000000","   0.9209428"
"1720.0000000","   0.9195041"
"1730.0000000","   0.9182023"
"1740.0000000","   0.9169606"
"1750.0000000","   0.9150693"
"1760.0000000","   0.9133873"
"1770.0000000","   0.9115927"
"1780.0000000","   0.9092973"
"1790.0000000","   0.9071922"
"1800.000000","   0.905035"
"1810.0000000","   0.9021115"
"1820.0000000","   0.8995132"
"1830.0000000","   0.8959774"
"1840.0000000","   0.8918311"
"1850.0000000","   0.8877613"
"1860.0000000","   0.8832977"
"1870.0000000","   0.8801922"
"1880.0000000","   0.8734769"
"1890.0000000","   0.8666128"
"1900.0000000","   0.8589731"
"1910.0000000","   0.8494343"
"1920.0000000","   0.8416685"
"1930.0000000","   0.8312287"
"1940.0000000","   0.8186948"
"1950.0000000","   0.8044958"
"1960.0000000","   0.7832417"
"1970.0000000","   0.7712961"
"1980.0000000","   0.7620789"
"1990.0000000","   0.7513406"
"2000.0000000","   0.7466872"
"2001.0000000","   0.7457912"
"2002.000000","   0.745473"
"2003.0000000","   0.7446251"
"2004.0000000","   0.7436318"
"2005.0000000","   0.7433161"
"2006.0000000","   0.7429198"
"2007.000000","   0.742881"
"2008.000000","   0.742242"
"2009.000000","   0.741568"
"2010.0000000","   0.7402683"
"2011.0000000","   0.7390755"
"2012.0000000","   0.7378599"
"2013.000000","   0.737064"
"2014.0000000","   0.7355429"
