Year,Primary
850,96.09552026
851,96.00534439
852,95.91636658
853,95.82924843
854,95.74427009
855,95.66098452
856,95.57881951
857,95.49806118
858,95.41895986
859,95.34151554
860,95.26582956
861,95.20232081
862,95.17180324
863,95.14149427
864,95.11142969
865,95.08157969
866,95.05195618
867,95.02255321
868,94.99333501
869,94.96437311
870,94.93560195
871,94.9070394
872,94.87870336
873,94.85057592
874,94.82263923
875,94.79485154
876,94.76729631
877,94.73990798
878,94.71272826
879,94.68571544
880,94.65880394
881,94.6320951
882,94.60547566
883,94.57916021
884,94.55307722
885,94.52701211
886,94.50129271
887,94.47562695
888,94.45016384
889,94.42491531
890,94.39975619
891,94.37471628
892,94.34984922
893,94.32500005
894,94.29985285
895,94.27481294
896,94.25048232
897,94.22609806
898,94.20169592
899,94.17734146
900,94.15317774
901,94.13020611
902,94.10738945
903,94.08478141
904,94.06241179
905,94.04039979
906,94.01846528
907,93.99663806
908,93.97497773
909,93.95327568
910,93.93167496
911,93.91009212
912,93.88864636
913,93.86721253
914,93.84583235
915,93.82466078
916,93.8033998
917,93.78217459
918,93.76102686
919,93.73964071
920,93.71895194
921,93.69854331
922,93.67813468
923,93.65776181
924,93.63740683
925,93.61723661
926,93.59728694
927,93.57719421
928,93.55752468
929,93.53771806
930,93.51812601
931,93.49858165
932,93.47920418
933,93.45980883
934,93.44035983
935,93.42061877
936,93.40102673
937,93.38179231
938,93.36267114
939,93.34360361
940,93.32447052
941,93.30540299
942,93.28619242
943,93.26675534
944,93.24809909
945,93.22952032
946,93.21106076
947,93.19254756
948,93.17419529
949,93.15596819
950,93.13774109
951,93.1196332
952,93.10141802
953,93.08341146
954,93.0654943
955,93.04788113
956,93.03041697
957,93.01306009
958,92.99563766
959,92.97839403
960,92.96123385
961,92.94404984
962,92.92678237
963,92.90957451
964,92.89258122
965,92.87558198
966,92.85874963
967,92.84182191
968,92.82498956
969,92.80806184
970,92.79128313
971,92.77445674
972,92.75773764
973,92.74095893
974,92.72419214
975,92.7075088
976,92.69099832
977,92.67433286
978,92.65775084
979,92.64119864
980,92.62441993
981,92.60752797
982,92.59073734
983,92.57436991
984,92.55825877
985,92.54214764
986,92.52600074
987,92.50986576
988,92.49369502
989,92.47760177
990,92.46144891
991,92.44546294
992,92.42950678
993,92.41378307
994,92.39806533
995,92.38250256
996,92.36698747
997,92.35149622
998,92.33598113
999,92.32053161
