Year,data
1960,1.361533875
1961,1.535159584
1962,1.583892839
1963,1.634773477
1964,1.713621363
1965,1.78052917
1966,1.840232603
1967,1.913746183
1968,2.027425462
1969,2.191187332
1970,2.296698844
1971,2.562329252
1972,2.738339413
1973,3.001888729
1974,3.833785621
1975,4.032142718
1976,4.256877171
1977,4.369920294
1978,4.519009579
1979,4.863594252
1980,5.171874864
1981,5.333845644
1982,5.564388171
1983,5.712518888
1984,5.858451372
1985,6.120737537
1986,6.502078017
1987,6.768011175
1988,7.22057671
1989,7.563030668
1990,8.062608453
1991,8.366243017
1992,8.584172037
1993,8.928208612
1994,9.570861043
1995,9.943708199
1996,10.36301495
1997,10.64820853
1998,10.99247534
1999,11.25220853
2000,11.66261511
2001,11.99625955
2002,12.52113871
2003,12.72481249
2004,13.00127362
2005,13.22388747
2006,13.60331322
2007,13.90542998
2008,14.14146702
2009,14.34735669
2010,14.43057653
2011,14.47228826
2012,14.57167037
