Year,LPI_final
1970,1
1971,0.992174
1972,0.985395
1973,0.978962
1974,0.972578
1975,0.965997
1976,0.959714
1977,0.953646
1978,0.947547
1979,0.940644
1980,0.933774
1981,0.925524
1982,0.917051
1983,0.908809
1984,0.900357
1985,0.891859
1986,0.883505
1987,0.875594
1988,0.867374
1989,0.85927
1990,0.850601
1991,0.841514
1992,0.832557
1993,0.823771
1994,0.815226
1995,0.808825
1996,0.801795
1997,0.794866
1998,0.785722
1999,0.778556
2000,0.77136
2001,0.764862
2002,0.758596
2003,0.75109
2004,0.743509
2005,0.736261
2006,0.7301
2007,0.725837
2008,0.719897
2009,0.712239
2010,0.705334
2011,0.696692
2012,0.688382
2013,0.677297
2014,0.663371
2015,0.650573
