Indicator_name,Provenance,Date,File_name,Include in synthesis,Do plots,Regions available?,WhyLeaveOutFromSlopeSynthesis,SupersededBy,DataColumn,CoreHighlightOther,WholeOrPartOfIndicatorData,HiOrLoBetter,Name_for_plot,ebvClass,EbvClass_reason,ebvScale,Representative_fundamental,Sensitive,Underpin_NCP,PristineValue,AllGoneValue,Rescaled name,TMF,PlotColour,FillColour,GlobalNoPartlyYes,Detail available at,Notes
Number of invasive alien species introductions,Sarah Darrah Ch3,23/02/2018,BIP indicator IAS 21 countries2.csv,Yes,Yes,No,,,3,Highlight,Whole,Low,Cumulative introduced invasive aliens,Community composition,Fits narrative better,0. Regional,Yes,No,No,0,NA,,TMF,black,black,Partly,,
Cumulative number of alien species,Seebens et al. 2017 Nature Comms,29/05/2017,Nspec_annual_global_cummulative.csv,Yes,Yes,,,,2,Other,Whole,Low,Cumulative number of alien species,Community composition,Fits narrative better,0. Regional,Yes,No,No,0,NA,,TMF,black,black,Yes,https://www.nature.com/articles/ncomms14435?WT.feed_name=subjects_earth-and-environmental-sciences,Data emailed by Seebens 2017-05-29
Mean Species Abundance,Rob Alkmemade,21/03/2018,MSA.csv,Yes,Yes,No,,Mean Species Abundance CC+LU,2,Highlight,Whole,High,Mean Species Abundance index,Community composition,,1. Local,Yes,No,No,100,0,,T,brown,brown,Yes,http://www.ipbes.net/sites/default/files/factsheet_alkemade_et_al_2009_mean_species_abundance.pdf,
Biodiversity Intactness Index (tropical forest only),De Palma et al. pers comm,03/10/2018,global_BII_tropical_forest.csv,Yes,Yes,Yes,,,2,Core,Whole,High,Tropical forest BII (overall),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,brown,Yes,,Slacked by Adriana on 15/3/18; regional files have same structure
BII tropical forest (Indigenous Lands),Aidin overlay,21/11/2018,global_BII_tropical_forest.csv,Yes,Yes,,,,4,Core,Part,High,Tropical forest BII (Indigenous Lands),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,white,Yes,,
BII tropical forest (Hotspots),Aidin overlay,21/11/2018,global_BII_tropical_forest.csv,Yes,Yes,,,,5,Core,Part,High,Tropical forest BII (hotspots),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,white,Yes,,
BioTime Local Species Richness,contact Maria Dornelas,,BioTimeS.csv,Yes,Yes,?,,,2,Highlight,Whole,High,Local species richness (BioTime),Community composition,,1. Local,Yes,No,No,NA,0,,TMF,black,black,Yes,,
BioTime Overall Abundance,contact Maria Dornelas,,,No,No,?,,,,Highlight,Whole,High,,Community composition,,1. Local,Yes,No,No,,0,,TMF,black,black,Yes,,
Biodiversity Intactness Index (global),LUH2 hindcasts,17/03/2018,Global_NPP-weighted_BII_LUH2.csv,Yes,Yes,Yes,,,2,Core,Whole,High,Biodiversity Intactness Index (overall),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,brown,Yes,,AP typed these in from the projection output
BII (Hotspots),Sam overlay,19/11/2018,hot_bii.csv,Yes,Yes,Yes,,,2,Core,Part,High,Biodiversity Intactness Index (Hotspots),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,white,Yes,,AP typed these in from the projection output
